Ticker,Name,Sector,Month,Return%
CRM,Salesforce,AI,2026-03,-4.17
CRM,Salesforce,AI,2026-04,-5.19
CRM,Salesforce,AI,2026-05,0.54
PLTR,Palantir,AI,2025-06,3.45
PLTR,Palantir,AI,2025-07,16.16
PLTR,Palantir,AI,2025-08,-1.04
PLTR,Palantir,AI,2025-09,16.41
PLTR,Palantir,AI,2025-10,9.89
PLTR,Palantir,AI,2025-11,-15.97
PLTR,Palantir,AI,2025-12,5.52
PLTR,Palantir,AI,2026-01,-17.53
PLTR,Palantir,AI,2026-02,-6.41
PLTR,Palantir,AI,2026-03,6.63
PLTR,Palantir,AI,2026-04,-4.9
PLTR,Palantir,AI,2026-05,-1.6
AI,C3.ai,AI,2025-06,-7.6
AI,C3.ai,AI,2025-07,-4.11
AI,C3.ai,AI,2025-08,-28.23
AI,C3.ai,AI,2025-09,2.54
AI,C3.ai,AI,2025-10,1.38
AI,C3.ai,AI,2025-11,-17.8
AI,C3.ai,AI,2025-12,-6.71
AI,C3.ai,AI,2026-01,-18.32
AI,C3.ai,AI,2026-02,-27.79
AI,C3.ai,AI,2026-03,5.91
AI,C3.ai,AI,2026-04,4.87
AI,C3.ai,AI,2026-05,7.36
SNOW,Snowflake,AI,2025-06,8.8
SNOW,Snowflake,AI,2025-07,-0.12
SNOW,Snowflake,AI,2025-08,6.78
SNOW,Snowflake,AI,2025-09,-5.49
SNOW,Snowflake,AI,2025-10,21.87
SNOW,Snowflake,AI,2025-11,-8.6
SNOW,Snowflake,AI,2025-12,-12.69
SNOW,Snowflake,AI,2026-01,-12.15
SNOW,Snowflake,AI,2026-02,-12.61
SNOW,Snowflake,AI,2026-03,-10.44
SNOW,Snowflake,AI,2026-04,-9.51
SNOW,Snowflake,AI,2026-05,11.01
IBM,IBM,AI,2025-06,13.79
IBM,IBM,AI,2025-07,-14.12
IBM,IBM,AI,2025-08,-3.17
IBM,IBM,AI,2025-09,15.88
IBM,IBM,AI,2025-10,8.95
IBM,IBM,AI,2025-11,0.93
IBM,IBM,AI,2025-12,-4.01
IBM,IBM,AI,2026-01,3.54
IBM,IBM,AI,2026-02,-21.23
IBM,IBM,AI,2026-03,0.91
IBM,IBM,AI,2026-04,-4.71
IBM,IBM,AI,2026-05,-2.5
SMCI,Super Micro Computer,AI,2025-06,22.46
SMCI,Super Micro Computer,AI,2025-07,20.32
SMCI,Super Micro Computer,AI,2025-08,-29.56
SMCI,Super Micro Computer,AI,2025-09,15.41
SMCI,Super Micro Computer,AI,2025-10,8.39
SMCI,Super Micro Computer,AI,2025-11,-34.85
SMCI,Super Micro Computer,AI,2025-12,-13.53
SMCI,Super Micro Computer,AI,2026-01,-0.55
SMCI,Super Micro Computer,AI,2026-02,11.27
SMCI,Super Micro Computer,AI,2026-03,-29.7
SMCI,Super Micro Computer,AI,2026-04,20.33
SMCI,Super Micro Computer,AI,2026-05,22.34
ORCL,Oracle,AI,2025-06,32.08
ORCL,Oracle,AI,2025-07,16.32
ORCL,Oracle,AI,2025-08,-10.89
ORCL,Oracle,AI,2025-09,24.37
ORCL,Oracle,AI,2025-10,-6.46
ORCL,Oracle,AI,2025-11,-23.1
ORCL,Oracle,AI,2025-12,-3.49
ORCL,Oracle,AI,2026-01,-15.34
ORCL,Oracle,AI,2026-02,-11.66
ORCL,Oracle,AI,2026-03,1.18
ORCL,Oracle,AI,2026-04,10.09
ORCL,Oracle,AI,2026-05,20.11
AMD,AMD,Chip,2025-06,28.15
AMD,AMD,Chip,2025-07,24.25
AMD,AMD,Chip,2025-08,-7.76
AMD,AMD,Chip,2025-09,-0.52
AMD,AMD,Chip,2025-10,58.3
AMD,AMD,Chip,2025-11,-15.07
AMD,AMD,Chip,2025-12,-1.55
AMD,AMD,Chip,2026-01,10.54
AMD,AMD,Chip,2026-02,-15.43
AMD,AMD,Chip,2026-03,1.61
AMD,AMD,Chip,2026-04,74.26
